household_email	appliance_number	manufacturer_name	model	appliance_type	air_handler_types	eer	energy_source	hspf	seer	energy_source	capacity	temperature	btu
aacey@rundofase.com	1	Frorobex Holdings Group		air_handler	heatpump			18.7	44.0				5511
aacey@rundofase.com	2	Barvenadower Holdings	Supweraquower	water_heater						gas	38.6	149	5200
aacey@rundofase.com	3	Qwierover	Emquestower	air_handler	heater		electric						6472
aacey@rundofase.com	4	Monpebinin WorldWide	Unhupan	air_handler	air_conditioner	7.1							4718
aacuff@rantouch.com	1	Haptanazz International	Supbanexex	air_handler	heater,heatpump		electric	20.4	44.9				7940
aacuff@rantouch.com	2	Zeenipentor	Endcadicazz	air_handler	heater		gas						3948
aacuff@rantouch.com	3	Montanewor Inc		air_handler	heatpump,air_conditioner	1.9		17.0	58.5				7498
aalbares@cancity.com	1	Montanex International	Zeezapedgantor	air_handler	heatpump			23.4	48.5				3719
aamyot@ontomedia.com	1	Mondudower WorldWide	Inhupistor	air_handler	air_conditioner	2.1							6741
aaquas@bioholding.com	1	Endmunicator	Frodudupantor	air_handler	heatpump			17.5	39.6				16716
aarceo@fasehatice.com	1	Barsipicar Holdings Inc	Winkilex	air_handler	heatpump,heater,air_conditioner	5.1	electric	25.0	30.9				9417
aarceo@fasehatice.com	2	Refropefex WorldWide Group		water_heater						thermosolar	35.8	205	4636
aarceo@fasehatice.com	3	Rewerpan WorldWide Company	Cipwerponin	water_heater						electric	18.0		4756
aarceo@fasehatice.com	4	Parvenollazz WorldWide Group	Frojubonex	air_handler	air_conditioner	1.1							3474
aarceo@fasehatice.com	5	Qwikilentor	Winerimazz	air_handler	air_conditioner	1.3							3874
aarceo@fasehatice.com	6	Thrutanazz Company		air_handler	air_conditioner	3.0							3582
aarceo@zoomit.com	1	Thrujubepazz International Company		air_handler	air_conditioner	3.9							6701
aarceo@zoomit.com	2	Unroban Holdings Company	Lomquestazz	air_handler	heater,heatpump		electric	22.4	36.3				9353
aarceo@zoomit.com	3	Unvenistor WorldWide	Winquestewistor	air_handler	heater		gas						4041
aaredondo@plexzap.com	1	Zeedimantor International	Untinilan	air_handler	heatpump			22.1	41.1				1919
aaredondo@plexzap.com	2	Grofropedgax WorldWide	Supglibackazz	water_heater						heat pump	21.0	103	2648
aaredondo@plexzap.com	3	Parwerupor Corp.	Suptinicator	air_handler	air_conditioner	0.7							2078
aaredondo@plexzap.com	4	Winvenonar International	Dopwerpackazz	air_handler	heatpump			21.3	34.6				774
aarias@goodsilron.com	1	Hapjubex Inc	Tipwerewover	water_heater						gas	69.8		17200
aarias@singletechno.com	1	Emwericator WorldWide Company		water_heater						thermosolar	14.0	124	8060
aarias@singletechno.com	2	Monkilower Direct		air_handler	heatpump			22.4	62.6				4879
aarias@singletechno.com	3	Varerax Holdings Corp.		air_handler	heater		electric						5691
aasar@fasehatice.com	1	Endhupover Direct	Surtinplistor	air_handler	heater		electric						3618
aasar@fasehatice.com	2	Lomwerpar WorldWide Inc	Qwitinommentor	air_handler	air_conditioner	1.1							3998
aasar@fasehatice.com	3	Parquestan WorldWide	Doprobaquan	air_handler	heater		gas						4435
aasar@fasehatice.com	4	Klifropedin International	Zeenipanex	air_handler	heatpump			22.4	49.7				3661
aasar@fasehatice.com	5	Tupericover Holdings	Varrobin	air_handler	air_conditioner,heater,heatpump	1.4	gas	23.2	43.3				5445
aasar@fasehatice.com	6	Uprobax International Group	Gromunor	air_handler	air_conditioner,heatpump	1.3		23.1	54.7				4984
aauber@cancity.com	1	Thrusapentor WorldWide	Cipmunower	air_handler	air_conditioner,heater	15.6	electric						10937
aauber@cancity.com	2	Emsapower Corp.		air_handler	heatpump			21.8	44.0				6445
aauber@cancity.com	3	Repebilover	Tupsipilicator	air_handler	air_conditioner	1.8							7813
aauffrey@golddex.com	1	Parquestor Corp.	Monvenentor	air_handler	heatpump,heater,air_conditioner	5.7	gas	21.0	30.5				8465
aauffrey@kinnamplus.com	1	Qwiquestentor Company		air_handler	air_conditioner,heater,heatpump	1.3	electric	26.3	49.6				6479
aauffrey@rundofase.com	1	Winpickentor WorldWide Group	Qwimunackax	air_handler	heatpump,air_conditioner	9.6		19.4	44.9				11153
aauffrey@rundofase.com	2	Parwerentor International		air_handler	air_conditioner	3.4							3229
aauffrey@rundofase.com	3	Tiphupantor WorldWide Inc	Winglibedgentor	air_handler	heater		electric						6027
abachman@yearin.com	1	Adcadimin International	Zeenipedistor	air_handler	air_conditioner	3.0							8676
abarfield@dambase.com	1	Zeewerar Holdings	Klimunover	air_handler	air_conditioner	2.9							5753
abarfield@dambase.com	2	Barsapover Direct	Hapwerpupax	air_handler	heater		electric						6467
abarfield@dambase.com	3	Emdimar Direct	Adnipedicator	air_handler	heater		electric						4835
abarfield@finjob.com	1	Frobanan Holdings Group	Unweropin	water_heater						electric	41.7	176	7014
abarfield@finjob.com	2	Barglibedgover	Parerower	air_handler	heater		gas						5980
abarfield@finjob.com	3	Dopsipantor International	Cippebantor	air_handler	heatpump			22.8	31.6				7111
abarfield@finjob.com	4	Upjubazz Direct Company	Frobanor	water_heater						gas	18.5	119	6696
abarfield@finjob.com	5	Inrobadan Direct	Unpickedgower	air_handler	heatpump			22.3	54.4				6983
abarfield@finjob.com	6	Kliwerpor International Company		air_handler	air_conditioner,heatpump	8.9		26.2	50.8				9120
abayless@faxquote.com	1	Surzapommor Direct	Qwifropazz	air_handler	air_conditioner,heater	4.0	gas						4572
abayless@faxquote.com	2	Unpebewin Direct Corp.	Tupjubedgistor	air_handler	air_conditioner	1.5							4369
abayless@faxquote.com	3	Happebantor		air_handler	heater,heatpump		electric	18.1	52.2				5661
abeech@donware.com	1	Barsipegistor Company	Upzapedgin	air_handler	air_conditioner	3.9							6516
abeech@donware.com	2	Thruquestegazz Company	Tipzapin	air_handler	heater		electric						7585
abeech@donware.com	3	Groerexower WorldWide		air_handler	air_conditioner	1.9							6270
abennick@labdrill.com	1	Trujubax Corp.	Cipzapover	air_handler	heater		gas						5371
abennick@labdrill.com	2	Zeefropicator Direct	Varglibor	air_handler	heater		gas						4765
abennick@labdrill.com	3	Grohupefantor International Company		air_handler	air_conditioner,heatpump	9.3		18.8	36.0				6602
aberlanga@statholdings.com	1	Emtinistor WorldWide Inc	Unglibedar	water_heater						thermosolar	39.6		7872
aberlanga@statholdings.com	2	Cipvenar Holdings Group	Advenimentor	air_handler	heater		gas						7615
aberlanga@statholdings.com	3	Upbanollar	Tupnipex	air_handler	heater		electric						8434
aberray@scottech.com	1	Lombanex WorldWide	Ciperupicator	water_heater						heat pump	28.7	187	8720
aberray@scottech.com	2	Unquestower		air_handler	heater		fuel oil						8520
aberray@scottech.com	3	Monjubin	Rapmunommor	water_heater						gas	37.8	103	9327
aberray@scottech.com	4	Klidudazz International		air_handler	heater		electric						7603
abevelacqua@zencorporation.com	1	Surericator Holdings	Intumupover	air_handler	heatpump,air_conditioner	2.2		19.3	31.0				5313
abevelacqua@zencorporation.com	2	Parpickicentor Inc	Endmunackazz	water_heater						electric	11.9	187	3940
abevelacqua@zencorporation.com	3	Bartinex Direct	Kliwerewax	air_handler	heatpump			14.9	31.7				3041
abiddy@bioholding.com	1	Montanonor Direct Corp.	Emzaponan	air_handler	air_conditioner	1.7							3250
abiddy@bioholding.com	2	Grofropistor Direct Company	Ciptanplan	water_heater						gas	43.0	115	3780
