email,household_type,footage,heating_temp,cooling_temp,postal_code,utilities
aacey@rundofase.com,apartment,1163,,72,95335,
aacuff@rantouch.com,townhome,1138,74,75,25420,gas
aalbares@cancity.com,mobile home,237,67,,81019,gas
aamyot@ontomedia.com,apartment,479,74,73,47169,gas
aaquas@bioholding.com,house,777,69,,4637,"electric,gas"
aarceo@fasehatice.com,apartment,1852,71,,92258,"electric,steam"
aarceo@zoomit.com,house,1244,69,76,73056,gas
aaredondo@plexzap.com,mobile home,433,,70,96110,"electric,gas"
aarias@goodsilron.com,house,871,72,75,49325,electric
aarias@singletechno.com,apartment,921,75,74,92869,electric
aasar@fasehatice.com,apartment,1775,71,73,2670,electric
aauber@cancity.com,house,1565,72,,48859,gas
aauffrey@golddex.com,townhome,790,69,71,74871,"electric,gas"
aauffrey@kinnamplus.com,house,461,69,75,75138,"electric,fuel oil"
aauffrey@rundofase.com,apartment,1036,71,71,99330,electric
abachman@yearin.com,townhome,406,74,72,78474,electric
abarfield@dambase.com,apartment,835,72,74,71050,"electric,fuel oil"
abarfield@finjob.com,house,2309,69,74,43733,gas
abatman@toughzap.com,townhome,91,69,69,62321,electric
abayless@faxquote.com,apartment,934,74,74,66434,"electric,gas,fuel oil"
abeech@donware.com,townhome,1317,78,,74462,gas
abennick@labdrill.com,apartment,1012,68,,31321,electric
aberlanga@statholdings.com,house,1386,,,14639,electric
aberray@scottech.com,house,1549,,72,92368,fuel oil
abevelacqua@zencorporation.com,apartment,738,72,71,93202,"gas,fuel oil"
abiddy@bioholding.com,apartment,1038,66,72,79938,
abilden@labdrill.com,house,2199,70,73,20142,electric
abilden@xx-holding.com,condominium,483,73,76,92416,"gas,steam"
abirkner@ron-tech.com,townhome,850,73,74,91202,"electric,gas,fuel oil"
ablackwood@codehow.com,condominium,1272,73,,47921,gas
aboord@dambase.com,apartment,458,75,73,29150,steam
aboord@y-corporation.com,apartment,1067,78,71,88525,electric
aborgman@konex.com,apartment,816,69,74,79966,
abourbon@fasehatice.com,townhome,688,69,72,10096,gas
abowley@zoomit.com,apartment,740,74,,92271,gas
abrachle@finjob.com,townhome,1726,,72,32561,
abrachle@konmatfix.com,apartment,425,73,75,97841,
abrideau@streethex.com,house,2259,,76,44683,electric
abrossart@faxquote.com,house,233,73,71,36769,"electric,gas"
abrucato@plussunin.com,house,1610,,70,74136,
abruschke@dambase.com,house,675,,75,30047,gas
abruschke@plusstrip.com,condominium,2909,77,,85306,
abutzen@statholdings.com,condominium,1493,71,75,42337,gas
abuvens@plusstrip.com,house,997,,72,71486,gas
acaiafa@nam-zim.com,house,2417,72,69,13308,"electric,gas,fuel oil"
acaldarera@cancity.com,townhome,1344,,73,6853,fuel oil
acalvaresi@nam-zim.com,house,3067,71,71,26338,steam
acalvaresi@ontomedia.com,condominium,1554,,73,55127,gas
acanlas@xx-zobam.com,house,759,73,70,93130,gas
acantres@dontechi.com,condominium,2190,65,72,5466,
acantres@sonron.com,apartment,1131,74,70,25431,
acentini@groovestreet.com,mobile home,162,73,74,15960,electric
achaffins@openlane.com,townhome,489,,74,11719,"electric,gas"
achavous@groovestreet.com,apartment,1018,73,74,15380,"electric,fuel oil"
achavous@xx-holding.com,townhome,835,73,72,30410,electric
achesterfield@newex.com,condominium,566,73,,64658,fuel oil
achickering@rundofase.com,townhome,1355,,,52047,gas
aclaucherty@toughzap.com,apartment,556,73,,65062,electric
acloney@cancity.com,townhome,756,71,72,17047,"electric,gas"
acolla@zathunicon.com,house,784,73,,67344,steam
acoody@bioplex.com,mobile home,494,71,69,53449,electric
acoody@finjob.com,mobile home,456,71,72,32762,fuel oil
acoody@sumace.com,house,113,75,72,30019,"electric,gas"
acork@doncon.com,apartment,1285,74,72,38055,steam
acoyier@y-corporation.com,house,2769,,75,52052,
acronauer@golddex.com,apartment,1429,67,73,97350,fuel oil
adallen@finjob.com,apartment,2244,64,74,23181,electric
adarakjy@plusstrip.com,house,1654,69,75,84029,gas
adaufeldt@singletechno.com,condominium,936,,75,7650,gas
adegonia@bioholding.com,house,3435,76,74,36558,electric
adegonia@zathunicon.com,apartment,166,70,,19457,steam
adegroot@isdom.com,house,897,74,71,21856,
adelasancha@faxquote.com,apartment,1031,71,70,84766,gas
ademesa@bioholding.com,condominium,1047,,,76210,"electric,fuel oil"
ademesa@zoomit.com,condominium,701,,72,67639,
adenooyer@finhigh.com,apartment,451,,68,45208,gas
adhamer@xx-holding.com,apartment,915,70,75,4354,
adickerson@blackzim.com,apartment,701,76,,11566,"electric,gas"
adickerson@plussunin.com,apartment,424,69,,76258,"electric,fuel oil"
adinos@rundofase.com,townhome,1289,74,74,68854,gas
adiscipio@ganjaflex.com,condominium,53,72,74,4321,steam
adiscipio@iselectrics.com,townhome,1098,70,71,30357,"electric,gas,fuel oil"
adiscipio@warephase.com,condominium,161,69,70,62447,electric
adopico@scottech.com,house,2378,76,,49258,"electric,gas"
aeanes@fasehatice.com,apartment,901,76,,68108,"gas,fuel oil"
aeanes@scottech.com,house,585,69,,98336,
aehmann@mathtouch.com,house,2230,71,73,62999,fuel oil
aengelberg@dontechi.com,house,1104,,72,52248,"gas,fuel oil"
aengelberg@scottech.com,house,739,71,,71720,
aeschberger@yearin.com,house,737,74,69,92507,"electric,gas"
aestell@ganjaflex.com,apartment,778,68,,98102,
aestell@zathunicon.com,townhome,927,67,,40009,electric
afallick@kinnamplus.com,townhome,1174,70,,72179,gas
afarrar@donquadtech.com,house,3670,73,,18248,electric
afarrar@green-plus.com,townhome,1117,,73,29373,electric
afarrar@kan-code.com,house,2035,73,71,73756,steam
afarrow@isdom.com,apartment,431,75,70,36015,"electric,gas"
afarrow@streethex.com,apartment,943,76,,84627,"electric,steam,fuel oil"
afeichtner@konex.com,townhome,1668,75,,48236,"electric,gas"
afelger@betatech.com,townhome,937,75,,48725,
afelger@doncon.com,apartment,904,66,76,72631,gas
afigeroa@dalttechnology.com,townhome,1143,69,72,23190,electric
aflister@sonron.com,house,799,75,75,59639,electric
afoller@gogozoom.com,condominium,712,68,,80524,electric
afoller@year-job.com,house,566,72,,46947,electric
afortino@openlane.com,apartment,940,70,72,63822,
afrey@treequote.com,house,612,70,72,24565,electric
afritz@funholding.com,townhome,595,69,,15626,electric
agabisi@dalttechnology.com,apartment,1233,72,71,4539,"electric,gas,fuel oil"
agabisi@ganjaflex.com,apartment,390,66,70,38039,
agato@hatfan.com,house,4790,77,,57334,"electric,gas"
agato@ontomedia.com,apartment,2012,74,,57717,
agehrett@scotfind.com,townhome,687,73,70,14129,"electric,gas,fuel oil"
agellinger@condax.com,apartment,1367,66,73,71259,"electric,fuel oil"
agellinger@finhigh.com,mobile home,1017,76,,50470,gas
agesick@rantouch.com,apartment,1012,76,,41522,
agiguere@plusstrip.com,house,111,74,70,4471,"electric,gas,steam"
agillaspie@finhigh.com,mobile home,584,77,71,34112,
agillian@ron-tech.com,apartment,1001,,,59106,gas
agleich@doncon.com,mobile home,349,78,69,55438,electric
agleich@finjob.com,house,1334,,74,38643,"electric,gas"
aglick@treequote.com,apartment,2147,,73,46582,
agobern@ontomedia.com,condominium,1577,,71,23514,gas
agochal@blackzim.com,mobile home,259,69,74,81045,"electric,fuel oil"
agochal@toughzap.com,apartment,928,67,,21866,fuel oil
agood@xx-zobam.com,house,128,69,,79960,"electric,gas"
agotter@isdom.com,house,2637,72,74,90280,"electric,gas"
agotter@statholdings.com,townhome,576,,,92843,"electric,steam"
agrenet@yearin.com,mobile home,206,71,76,22902,"electric,gas"
agudroe@sunnamplex.com,house,69,77,72,27592,fuel oil
ahagele@dontechi.com,house,675,71,74,38333,gas
ahalsey@faxquote.com,apartment,791,,70,55965,gas
ahalsey@plussunin.com,house,1348,,72,1253,
ahalter@sunnamplex.com,house,1604,72,75,12874,"electric,gas"
ahamilton@cancity.com,apartment,513,75,,83302,
aharabedian@inity.com,house,1916,68,,30477,electric
aharnos@bioholding.com,townhome,1182,74,74,52309,electric
aharoldson@zumgoity.com,house,1429,72,72,70397,"electric,steam"
aheintzman@donquadtech.com,house,851,68,,57552,gas
aheintzman@donware.com,house,897,76,70,17931,
ahengel@groovestreet.com,townhome,635,73,74,77720,"electric,gas"
ahochard@hottechi.com,house,1050,71,72,67674,electric
ahochard@j-texon.com,townhome,1241,75,69,32058,electric
ahoffis@kan-code.com,house,866,73,,44510,steam
ahollack@codehow.com,house,801,73,74,61106,"gas,steam,fuel oil"
ahoogland@zencorporation.com,house,1806,69,,21817,electric
ahoopengardner@iselectrics.com,apartment,834,,,15225,"gas,fuel oil"
ahoopengardner@kan-code.com,apartment,2032,72,73,31993,"electric,gas,fuel oil"
ahoopengardner@zotware.com,townhome,1224,76,,87575,electric
ahoopengardner@zumgoity.com,house,1912,74,72,45740,fuel oil
ahusser@toughzap.com,apartment,937,73,75,58103,electric
aisenhower@doncon.com,house,861,75,,27910,"electric,fuel oil"
aisenhower@warephase.com,apartment,799,,72,88528,
ajacobos@gogozoom.com,townhome,445,75,75,14204,"gas,fuel oil"
ajacobos@kan-code.com,house,1524,76,71,78880,electric
ajayson@newex.com,mobile home,250,72,73,62543,electric
ajeanty@gogozoom.com,apartment,745,75,,61810,gas
ajeanty@zoomit.com,house,1419,70,75,55051,"electric,gas,fuel oil"
ajillson@rantouch.com,townhome,459,73,69,92385,
ajulia@zathunicon.com,apartment,849,68,71,30177,"steam,fuel oil"
ajurney@silis.com,apartment,2017,75,72,91326,gas
akampa@finhigh.com,condominium,66,70,73,13201,electric
akampa@plusstrip.com,house,731,,76,23879,fuel oil
akaniecki@zathunicon.com,townhome,1139,70,74,74016,electric
akardas@green-plus.com,condominium,1123,,,98628,"gas,steam"
